villes,fourmis,iterations,alpha,beta,Q,evaporation,meilleureDistance,tempsExecution
100,100,1,1.0,1.0,0.5,100,3114.8890295648253,0.5464139519999662
100,100,2,1.0,1.0,0.5,100,2769.642570895367,1.0420720820002316
100,100,3,1.0,1.0,0.5,100,2712.6550274134156,1.5311853370003519
100,100,4,1.0,1.0,0.5,100,1983.9305588769255,2.0758173180001904
100,100,5,1.0,1.0,0.5,100,1742.732600682618,2.5810786689999077
100,100,6,1.0,1.0,0.5,100,1307.6083814983133,3.0592838619995746
100,100,7,1.0,1.0,0.5,100,1401.4867954781298,3.5966743290000522
100,100,8,1.0,1.0,0.5,100,1337.9566239759208,4.11495510199984
100,100,9,1.0,1.0,0.5,100,1239.8917734332058,4.923595819000184
100,100,10,1.0,1.0,0.5,100,1130.271220628137,5.478846770000018
100,100,11,1.0,1.0,0.5,100,1058.5494269521926,5.859497170000395
100,100,12,1.0,1.0,0.5,100,1137.1533625436064,6.1040750860001936
100,100,13,1.0,1.0,0.5,100,1115.161361499561,6.589994592999574
100,100,14,1.0,1.0,0.5,100,1137.1201579658589,7.066070244000002
100,100,15,1.0,1.0,0.5,100,1053.6736616700782,7.662710734000029
100,100,16,1.0,1.0,0.5,100,1038.8300321104794,7.999809949000337
100,100,17,1.0,1.0,0.5,100,1083.6339439490673,8.439135953000005
100,100,18,1.0,1.0,0.5,100,1056.1050993880474,8.965323636999528
100,100,19,1.0,1.0,0.5,100,1011.0752847684242,9.52569767499972
100,100,20,1.0,1.0,0.5,100,1023.1200778612969,9.922838385999967
100,100,21,1.0,1.0,0.5,100,1003.189601349367,10.606499831000292
100,100,22,1.0,1.0,0.5,100,1057.4312656925383,11.194184486999802
100,100,23,1.0,1.0,0.5,100,1001.029310679904,12.18958970499989
100,100,24,1.0,1.0,0.5,100,995.5233515251238,12.61500939600046
100,100,25,1.0,1.0,0.5,100,1047.579970063069,13.617603521999627
100,100,26,1.0,1.0,0.5,100,1001.139512739609,14.151809572000275
100,100,27,1.0,1.0,0.5,100,1028.1937113277315,14.17859415699968
100,100,28,1.0,1.0,0.5,100,1015.5057449430873,14.022082421999585
100,100,29,1.0,1.0,0.5,100,937.1074712675749,15.058045013000083
100,100,30,1.0,1.0,0.5,100,933.8112065127199,14.924980939999841
100,100,31,1.0,1.0,0.5,100,987.9974748208285,15.998267986999963
100,100,32,1.0,1.0,0.5,100,1016.2356740300679,16.696211020999726
100,100,33,1.0,1.0,0.5,100,1024.9470072467968,16.64845802199943
100,100,34,1.0,1.0,0.5,100,1016.577109795597,17.443725374000678
100,100,35,1.0,1.0,0.5,100,986.452933587742,17.248421459999918
100,100,36,1.0,1.0,0.5,100,1003.968704085702,19.26373505399988
100,100,37,1.0,1.0,0.5,100,1037.3321563134173,19.36139857300077
100,100,38,1.0,1.0,0.5,100,946.6563231869204,20.9935247479998
100,100,39,1.0,1.0,0.5,100,998.5386703075385,19.574040810000042
100,100,40,1.0,1.0,0.5,100,1037.6041043228474,20.77210617899982
100,100,41,1.0,1.0,0.5,100,911.8679699482796,21.115272898000512
100,100,42,1.0,1.0,0.5,100,1039.6428978563208,20.76244141999996
100,100,43,1.0,1.0,0.5,100,1022.2943954490977,21.44333247800023
100,100,44,1.0,1.0,0.5,100,933.0987681797768,22.66382109999995
100,100,45,1.0,1.0,0.5,100,1003.345870473885,22.2535261539997
100,100,46,1.0,1.0,0.5,100,1033.4542003666534,23.90855947899945
100,100,47,1.0,1.0,0.5,100,937.6858332537762,23.79155546000038
100,100,48,1.0,1.0,0.5,100,897.1724668446093,23.900849256000583
100,100,49,1.0,1.0,0.5,100,967.8581338832804,24.31394840200028
100,100,50,1.0,1.0,0.5,100,1028.1216658116182,25.33771377999983
