villes,fourmis,iterations,alpha,beta,Q,evaporation,meilleureDistance,tempsExecution
30,100,50,1.0,1.0,100.0,0.5,471.8746743345444,2.5200337530004617
30,100,50,1.0,2.0,100.0,0.5,453.0622947044416,2.4102140680006414
30,100,50,1.0,3.0,100.0,0.5,450.7771216650277,2.391802709998956
30,100,50,1.0,4.0,100.0,0.5,453.06229470444157,2.4043392079984187
30,100,50,1.0,5.0,100.0,0.5,453.06229470444157,2.394972948999566
30,100,50,1.0,6.0,100.0,0.5,453.0622947044416,2.4038251129986747
30,100,50,1.0,7.0,100.0,0.5,453.0622947044416,2.40353312499974
30,100,50,1.0,8.0,100.0,0.5,453.0622947044417,2.412553137000941
30,100,50,1.0,9.0,100.0,0.5,453.0622947044416,2.38943117800045
30,100,50,1.0,10.0,100.0,0.5,453.0622947044417,2.402577365999605
